ID_Dev;SKU;Quantidade Devolvida;ID_Loja;Data da Devolução;ID_Código Cliente
1;HL1022;3;5;01/01/2018;312
2;HL1011;3;15;01/01/2018;811
3;HL1011;1;10;01/01/2018;298
4;HL1001;3;3;01/02/2018;408
5;HL1009;1;11;01/03/2018;583
6;HL1024;1;6;01/03/2018;111
7;HL1002;3;10;01/05/2018;191
8;HL1011;3;16;01/05/2018;452
9;HL1015;1;13;01/06/2018;564
10;HL1015;2;10;01/06/2018;758
11;HL1015;3;11;01/06/2018;701
12;HL1008;2;1;01/06/2018;312
13;HL1003;1;3;01/09/2018;406
14;HL1011;2;4;01/10/2018;812
15;HL1005;3;3;01/11/2018;474
16;HL1022;2;4;01/11/2018;197
17;HL1013;3;10;01/12/2018;508
18;HL1014;3;14;1/13/2018;583
19;HL1008;2;1;1/14/2018;237
20;HL1014;1;3;1/15/2018;272
21;HL1010;3;11;1/17/2018;448
22;HL1022;3;2;1/17/2018;426
23;HL1017;3;1;1/18/2018;123
24;HL1022;3;16;1/19/2018;731
25;HL1021;2;6;1/19/2018;126
26;HL1017;2;12;1/20/2018;412
27;HL1013;2;10;1/20/2018;241
28;HL1003;3;12;1/21/2018;123
29;HL1013;1;9;1/21/2018;614
30;HL1007;2;12;1/22/2018;431
31;HL1004;1;8;1/22/2018;154
32;HL1006;3;5;1/22/2018;18
33;HL1019;2;1;1/23/2018;561
34;HL1014;3;8;1/24/2018;618
35;HL1006;3;10;1/24/2018;643
36;HL1010;2;11;1/24/2018;558
37;HL1023;2;1;1/25/2018;186
38;HL1016;2;17;1/28/2018;482
39;HL1019;3;17;1/28/2018;364
40;HL1013;1;12;1/29/2018;577
41;HL1023;1;11;1/31/2018;312
42;HL1015;1;6;02/01/2018;429
43;HL1009;2;17;02/02/2018;287
44;HL1014;2;15;02/03/2018;298
45;HL1005;2;5;02/04/2018;623
46;HL1004;1;16;02/06/2018;527
47;HL1005;2;9;02/06/2018;480
48;HL1001;1;4;02/08/2018;513
49;HL1002;2;16;02/08/2018;680
50;HL1019;1;6;02/10/2018;529
51;HL1018;3;4;02/10/2018;474
52;HL1022;3;13;02/10/2018;84
53;HL1020;1;12;02/11/2018;375
54;HL1017;2;12;02/12/2018;267
55;HL1014;2;5;02/12/2018;233
56;HL1004;3;7;2/14/2018;10
57;HL1019;3;5;2/14/2018;188
58;HL1015;3;4;2/14/2018;390
59;HL1014;2;6;2/17/2018;769
60;HL1018;2;9;2/17/2018;166
61;HL1004;1;2;2/17/2018;345
62;HL1016;3;11;2/20/2018;466
63;HL1008;1;2;2/20/2018;584
64;HL1004;2;7;2/20/2018;501
65;HL1019;2;9;2/20/2018;458
66;HL1007;3;3;2/20/2018;52
67;HL1011;2;3;2/21/2018;3
68;HL1022;3;10;2/21/2018;240
69;HL1005;3;8;2/21/2018;688
70;HL1013;2;17;2/22/2018;238
71;HL1021;3;12;2/23/2018;511
72;HL1005;1;8;2/23/2018;321
73;HL1009;3;5;2/24/2018;520
74;HL1009;3;17;2/26/2018;690
75;HL1018;3;8;2/27/2018;64
76;HL1009;2;3;2/28/2018;353
77;HL1006;3;3;2/28/2018;485
78;HL1009;2;5;2/28/2018;318
79;HL1020;1;7;03/01/2018;582
80;HL1003;1;2;03/01/2018;215
81;HL1021;1;14;03/01/2018;537
82;HL1011;1;11;03/01/2018;208
83;HL1021;2;13;03/02/2018;163
84;HL1010;3;12;03/03/2018;579
85;HL1024;2;7;03/03/2018;646
86;HL1001;3;13;03/05/2018;565
87;HL1007;2;8;03/07/2018;60
88;HL1003;2;12;03/08/2018;6
89;HL1006;2;6;03/08/2018;715
90;HL1003;3;3;03/10/2018;542
91;HL1003;3;3;03/12/2018;545
92;HL1007;2;13;03/12/2018;227
93;HL1019;2;12;03/12/2018;474
94;HL1004;2;9;3/19/2018;759
95;HL1015;2;11;3/19/2018;711
96;HL1012;1;11;3/19/2018;799
97;HL1024;3;1;3/20/2018;319
98;HL1020;1;2;3/21/2018;514
99;HL1018;3;11;3/23/2018;533
100;HL1013;1;14;3/23/2018;205
101;HL1015;2;15;3/26/2018;183
102;HL1023;3;12;3/26/2018;464
103;HL1013;1;3;3/27/2018;490
104;HL1005;1;15;3/27/2018;771
105;HL1024;3;16;3/28/2018;612
106;HL1006;1;5;3/29/2018;608
107;HL1003;3;2;3/29/2018;266
108;HL1014;1;3;3/31/2018;289
109;HL1022;2;14;3/31/2018;772
110;HL1020;3;17;3/31/2018;382
111;HL1007;1;7;3/31/2018;273
112;HL1019;1;12;3/31/2018;519
113;HL1013;3;8;04/02/2018;139
114;HL1016;2;5;04/03/2018;712
115;HL1009;2;6;04/04/2018;809
116;HL1019;2;11;04/05/2018;74
117;HL1004;3;17;04/05/2018;795
118;HL1022;2;10;04/07/2018;658
119;HL1008;3;10;04/07/2018;107
120;HL1020;2;16;04/10/2018;596
121;HL1001;3;6;04/11/2018;556
122;HL1010;2;4;4/13/2018;41
123;HL1012;2;5;4/13/2018;635
124;HL1008;1;12;4/14/2018;366
125;HL1015;1;10;4/15/2018;67
126;HL1013;2;4;4/15/2018;310
127;HL1009;2;4;4/15/2018;220
128;HL1006;3;10;4/17/2018;482
129;HL1022;3;14;4/17/2018;42
130;HL1005;3;6;4/17/2018;99
131;HL1023;2;9;4/17/2018;238
132;HL1023;1;9;4/19/2018;156
133;HL1016;3;16;4/21/2018;130
134;HL1006;2;10;4/22/2018;243
135;HL1005;3;9;4/22/2018;248
136;HL1014;3;7;4/23/2018;229
137;HL1006;3;1;4/24/2018;543
138;HL1016;1;2;4/24/2018;422
139;HL1006;2;3;4/24/2018;198
140;HL1024;2;5;4/24/2018;332
141;HL1021;3;1;4/26/2018;247
142;HL1017;1;14;4/26/2018;128
143;HL1014;3;4;4/29/2018;364
144;HL1006;1;10;05/02/2018;574
145;HL1024;1;11;05/02/2018;472
