SKU;Quantidade;ID_Loja;Data da Venda;ID_FormaPagamento;ID_Cliente
HL1016;3;15;05/01/2021;4;38
HL1021;3;13;13/11/2021;1;207
HL1023;3;4;07/08/2021;2;186
HL1011;5;15;02/10/2021;2;617
HL1001;2;10;21/08/2021;5;31
HL1004;1;14;26/06/2021;2;329
HL1011;4;16;28/11/2021;3;784
HL1001;1;1;22/07/2021;1;41
HL1002;3;8;19/04/2021;3;725
HL1009;1;11;14/12/2021;2;289
HL1014;4;7;15/04/2021;2;54
HL1023;2;5;24/05/2021;4;700
HL1013;1;2;08/01/2021;1;355
HL1008;3;15;26/04/2021;3;496
HL1017;5;12;25/04/2021;2;607
HL1014;1;10;02/10/2021;5;526
HL1015;4;5;28/01/2021;2;635
HL1016;1;14;26/09/2021;3;761
HL1021;5;5;20/07/2021;3;15
HL1016;5;4;07/09/2021;3;70
HL1004;4;9;11/05/2021;3;648
HL1002;4;14;26/07/2021;5;650
HL1020;5;6;08/09/2021;1;416
HL1020;4;4;15/05/2021;3;458
HL1021;2;7;12/05/2021;3;479
HL1017;5;8;02/03/2021;5;504
HL1002;3;9;25/10/2021;1;519
HL1001;5;11;07/01/2021;2;170
HL1014;1;11;27/11/2021;2;256
HL1004;2;6;10/04/2021;3;250
HL1004;2;16;27/02/2021;4;286
HL1003;3;15;22/07/2021;5;343
HL1018;3;16;01/06/2021;1;455
HL1020;1;11;11/09/2021;1;5
HL1022;2;14;24/12/2021;3;605
HL1017;1;1;16/11/2021;2;808
HL1012;1;16;23/12/2021;2;227
HL1023;3;13;11/06/2021;2;280
HL1012;5;10;26/06/2021;1;66
HL1004;2;7;17/03/2021;1;195
HL1024;5;14;18/01/2021;5;367
HL1013;1;14;27/12/2021;1;659
HL1024;4;5;17/03/2021;5;489
HL1004;1;10;08/03/2021;2;639
HL1018;4;2;21/11/2021;4;718
HL1020;3;16;12/08/2021;1;798
HL1023;5;2;03/05/2021;2;532
HL1017;1;9;09/02/2021;2;50
HL1002;1;6;13/06/2021;5;486
HL1001;1;15;02/07/2021;2;437
HL1014;2;7;04/12/2021;3;503
HL1015;3;12;24/11/2021;3;682
HL1003;1;13;24/05/2021;2;389
HL1015;5;9;24/02/2021;5;713
HL1014;3;5;24/12/2021;2;372
HL1005;2;7;23/08/2021;4;26
HL1013;5;12;05/06/2021;5;14
HL1023;1;13;21/04/2021;1;395
HL1023;2;10;10/07/2021;5;327
HL1009;4;9;21/04/2021;3;512
HL1021;5;14;08/10/2021;1;70
HL1015;2;13;05/03/2021;1;795
HL1007;2;1;17/06/2021;2;332
HL1007;1;13;04/03/2021;3;593
HL1024;1;15;26/01/2021;5;571
HL1023;4;7;09/04/2021;4;207
HL1015;3;3;21/02/2021;4;592
HL1003;3;16;10/12/2021;5;314
HL1010;1;15;27/12/2021;1;664
HL1020;5;17;26/06/2021;4;665
HL1010;4;5;22/04/2021;4;294
HL1008;4;16;04/04/2021;5;162
HL1009;5;14;05/07/2021;5;329
HL1014;5;14;13/05/2021;2;93
HL1005;4;14;13/02/2021;4;504
HL1004;4;6;13/11/2021;5;658
HL1011;5;15;11/09/2021;2;286
HL1005;1;7;20/08/2021;4;686
HL1001;1;10;16/07/2021;2;623
HL1022;2;17;08/08/2021;3;152
HL1011;5;4;22/08/2021;2;636
HL1004;5;11;17/08/2021;1;672
HL1004;2;13;25/03/2021;4;740
HL1012;3;7;28/07/2021;2;70
HL1009;2;12;08/06/2021;2;277
HL1015;5;7;22/02/2021;4;474
HL1022;4;16;04/11/2021;1;136
HL1016;2;6;10/05/2021;4;670
HL1001;3;10;06/04/2021;3;556
HL1011;2;4;05/09/2021;5;739
HL1020;3;5;20/09/2021;1;31
HL1024;1;7;18/07/2021;4;335
HL1009;5;12;05/04/2021;4;783
HL1002;1;14;10/03/2021;3;754
HL1013;4;2;13/03/2021;2;785
HL1021;5;4;09/08/2021;5;128
HL1019;3;8;16/03/2021;5;442
HL1009;3;5;05/10/2021;4;240
HL1009;4;1;07/07/2021;4;25
HL1023;2;5;11/02/2021;2;719
HL1003;2;7;08/07/2021;3;652
HL1007;2;10;09/05/2021;2;365
HL1017;2;10;15/01/2021;3;622
HL1013;2;11;22/07/2021;2;685
HL1016;3;5;14/04/2021;1;816
HL1006;2;1;13/03/2021;3;544
HL1022;5;2;02/08/2021;4;100
HL1008;3;17;27/02/2021;1;659
HL1004;1;6;23/06/2021;3;450
HL1013;3;12;05/11/2021;5;592
HL1007;1;4;24/01/2021;1;366
HL1012;5;12;26/07/2021;2;447
HL1011;5;4;04/08/2021;3;518
HL1002;5;16;22/04/2021;3;188
HL1009;2;1;05/11/2021;1;84
HL1009;2;10;20/07/2021;2;595
HL1011;5;3;24/05/2021;5;345
HL1004;4;2;02/08/2021;3;340
HL1014;2;1;02/09/2021;3;681
HL1010;2;2;10/12/2021;4;453
HL1022;5;8;04/11/2021;3;601
HL1021;5;14;25/11/2021;5;557
HL1021;1;6;18/02/2021;3;812
HL1005;2;8;21/11/2021;2;117
HL1011;4;14;26/10/2021;1;674
HL1014;2;2;07/12/2021;5;99
HL1014;4;16;23/02/2021;3;729
HL1014;5;16;09/03/2021;4;774
HL1009;3;12;20/04/2021;4;610
HL1019;5;2;28/02/2021;1;380
HL1005;5;1;16/01/2021;4;702
HL1016;5;11;19/10/2021;3;741
HL1018;4;9;02/08/2021;1;524
HL1018;4;8;24/06/2021;2;552
HL1024;5;16;18/02/2021;3;679
HL1005;4;2;19/11/2021;4;274
HL1018;2;14;08/10/2021;2;452
HL1011;3;7;08/04/2021;1;180
HL1012;1;16;09/02/2021;3;806
HL1013;5;3;22/01/2021;3;789
HL1006;2;17;25/10/2021;3;278
HL1014;2;12;16/09/2021;1;360
HL1002;5;15;18/03/2021;2;428
HL1009;2;15;21/07/2021;3;79
HL1011;2;14;02/02/2021;3;311
HL1011;4;3;01/03/2021;2;725
HL1005;4;8;14/03/2021;4;426
HL1012;5;17;07/06/2021;4;314
HL1015;4;1;15/07/2021;3;361
HL1011;5;11;27/09/2021;3;425
HL1017;1;7;14/03/2021;5;185
HL1006;3;6;22/02/2021;2;43
HL1007;5;8;16/04/2021;5;334
HL1013;1;5;28/08/2021;3;701
HL1015;3;3;27/09/2021;3;674
HL1024;4;5;04/12/2021;4;447
HL1015;1;7;03/11/2021;4;20
HL1005;5;16;17/10/2021;4;497
HL1014;5;13;24/08/2021;4;282
HL1021;4;9;09/12/2021;1;149
HL1004;1;2;22/06/2021;2;800
HL1006;3;13;02/11/2021;1;381
HL1008;4;14;24/09/2021;1;619
HL1022;2;4;28/05/2021;5;614
HL1011;5;17;13/04/2021;5;351
HL1001;4;12;12/08/2021;3;408
HL1006;3;15;13/06/2021;1;245
HL1013;4;17;05/03/2021;4;300
HL1007;3;15;18/07/2021;2;376
HL1024;5;5;28/08/2021;5;152
HL1019;4;1;12/09/2021;5;423
HL1014;1;4;11/07/2021;1;258
HL1010;2;11;20/05/2021;2;398
HL1024;1;12;07/07/2021;4;498
HL1002;4;13;23/08/2021;2;461
