SKU;Quantidade;ID_Loja;Data da Venda;ID_FormaPagamento;ID_Cliente
HL1004;3;4;01/01/2020;5;341
HL1018;4;5;01/01/2020;5;476
HL1004;5;8;01/01/2020;2;708
HL1022;2;2;01/01/2020;4;60
HL1012;1;2;01/01/2020;1;536
HL1020;3;12;01/01/2020;3;209
HL1016;5;15;01/01/2020;2;23
HL1003;5;3;01/01/2020;4;20
HL1019;1;1;01/01/2020;1;245
HL1003;1;14;01/01/2020;1;523
HL1020;3;5;01/01/2020;5;729
HL1007;1;17;01/01/2020;5;320
HL1019;3;10;01/01/2020;1;99
HL1019;2;5;01/01/2020;5;452
HL1003;3;5;01/01/2020;5;95
HL1008;1;10;01/01/2020;4;55
HL1010;5;10;01/01/2020;2;749
HL1004;4;5;01/01/2020;2;409
HL1006;2;6;01/01/2020;4;295
HL1013;2;8;01/01/2020;1;478
HL1021;1;16;01/01/2020;5;818
HL1015;1;9;01/01/2020;2;277
HL1015;4;13;01/01/2020;4;332
HL1018;3;14;01/01/2020;4;418
HL1006;5;16;01/01/2020;4;171
HL1001;2;4;01/01/2020;3;303
HL1024;2;13;01/01/2020;4;318
HL1010;3;11;01/01/2020;5;513
HL1017;5;13;01/01/2020;5;201
HL1019;4;4;01/01/2020;1;441
HL1017;2;16;01/01/2020;3;391
HL1015;5;16;02/01/2020;1;495
HL1018;5;10;02/01/2020;2;303
HL1007;5;1;02/01/2020;1;462
HL1023;4;3;02/01/2020;1;162
HL1007;4;11;02/01/2020;1;655
HL1003;1;11;02/01/2020;1;351
HL1022;2;6;02/01/2020;2;209
HL1023;1;8;02/01/2020;4;14
HL1004;1;17;02/01/2020;3;116
HL1018;4;8;02/01/2020;4;205
HL1011;1;8;02/01/2020;2;471
HL1023;2;1;02/01/2020;4;517
HL1002;4;4;02/01/2020;5;224
HL1021;5;7;02/01/2020;1;668
HL1016;2;15;02/01/2020;1;382
HL1010;3;7;02/01/2020;4;652
HL1020;4;6;02/01/2020;1;233
HL1024;4;10;02/01/2020;3;56
HL1014;1;13;02/01/2020;1;563
HL1016;5;2;02/01/2020;2;660
HL1005;1;11;02/01/2020;2;132
HL1011;4;7;02/01/2020;5;290
HL1002;3;15;02/01/2020;1;505
HL1023;1;3;02/01/2020;4;354
HL1001;1;10;02/01/2020;2;817
HL1001;5;9;02/01/2020;1;152
HL1007;1;12;03/01/2020;2;301
HL1019;3;13;03/01/2020;4;671
HL1001;2;11;03/01/2020;4;155
HL1018;5;2;03/01/2020;5;389
HL1009;1;3;03/01/2020;5;723
HL1003;3;14;03/01/2020;4;75
HL1011;3;9;03/01/2020;5;575
HL1013;3;2;03/01/2020;4;694
HL1019;1;14;03/01/2020;1;172
HL1006;5;8;03/01/2020;4;532
HL1015;5;16;03/01/2020;3;18
HL1014;3;17;03/01/2020;2;161
HL1013;2;9;03/01/2020;1;654
HL1008;1;13;03/01/2020;2;11
HL1006;1;12;03/01/2020;5;259
HL1008;2;7;03/01/2020;1;45
HL1021;4;16;03/01/2020;3;509
HL1022;4;17;03/01/2020;3;557
HL1017;5;6;03/01/2020;1;612
HL1011;1;8;03/01/2020;2;520
HL1005;5;2;03/01/2020;4;270
HL1016;5;9;03/01/2020;4;633
HL1018;2;8;03/01/2020;4;724
HL1005;3;4;03/01/2020;3;321
HL1017;5;16;03/01/2020;2;575
HL1021;5;16;03/01/2020;1;735
HL1020;1;15;03/01/2020;1;158
HL1007;3;10;03/01/2020;3;772
HL1014;2;3;03/01/2020;3;450
HL1014;2;2;03/01/2020;2;187
HL1017;5;8;04/01/2020;3;725
HL1023;4;13;04/01/2020;2;530
HL1001;5;11;04/01/2020;2;803
HL1004;1;7;04/01/2020;3;528
HL1015;4;13;04/01/2020;5;396
HL1015;2;2;04/01/2020;4;82
HL1018;5;13;04/01/2020;4;14
HL1001;3;1;04/01/2020;5;442
HL1019;5;6;04/01/2020;3;490
HL1016;3;14;04/01/2020;2;315
HL1013;1;12;04/01/2020;5;403
HL1003;1;7;04/01/2020;3;171
HL1018;2;4;04/01/2020;1;767
HL1024;1;17;04/01/2020;5;548
HL1002;2;16;04/01/2020;4;754
HL1019;4;11;04/01/2020;4;345
HL1021;2;4;04/01/2020;1;589
HL1013;2;3;04/01/2020;3;162
HL1018;5;1;04/01/2020;3;610
HL1002;2;2;04/01/2020;2;753
HL1022;3;9;04/01/2020;4;33
HL1022;3;14;04/01/2020;2;769
HL1015;1;13;04/01/2020;1;350
HL1017;1;5;04/01/2020;2;403
HL1001;3;7;04/01/2020;2;460
HL1012;2;14;04/01/2020;4;558
HL1023;2;12;04/01/2020;1;671
HL1009;5;3;04/01/2020;5;443
HL1003;3;2;04/01/2020;3;153
HL1011;3;5;04/01/2020;1;693
HL1007;3;10;04/01/2020;5;712
HL1009;4;11;04/01/2020;1;457
HL1001;1;3;04/01/2020;3;293
HL1005;4;3;05/01/2020;2;34
HL1001;5;8;05/01/2020;3;505
HL1021;2;1;05/01/2020;1;484
HL1023;3;1;05/01/2020;3;630
HL1023;3;2;05/01/2020;1;444
HL1002;3;6;05/01/2020;2;389
HL1021;5;16;05/01/2020;2;511
HL1016;5;4;05/01/2020;1;420
HL1014;3;11;05/01/2020;5;84
HL1016;2;1;05/01/2020;1;307
HL1020;2;7;05/01/2020;1;589
HL1023;5;16;05/01/2020;2;229
HL1007;2;15;05/01/2020;1;569
HL1012;5;6;05/01/2020;1;152
